rank,title,director,release_date,movie_type,format_type,nation,screens_total,sales_total_krw,audience_total,sales_seoul_krw,audience_seoul,genre,rating,film_class,seoul_ratio,release_year,nation_enc,rating_enc,genre_enc
1,Myeongryang,Kim Han-min,2014-07-30,Theatrical Release,Feature,KR,1587,135748398910,17613682,33121225810.0,4163666,Other,15+,Commercial,0.23638816688072375,2014,36,1,4
2,Extreme Job,Lee Byung-hun,2019-01-23,Theatrical Release,Feature,KR,1978,139647979516,16264944,31858660536.0,3638287,Comedy,15+,Commercial,0.22368887344463037,2019,36,1,3
3,Along with the Gods: The Two Worlds,Kim Yong-hwa,2017-12-20,Theatrical Release,Feature,KR,1912,115698654137,14410754,27530825087.0,3346172,Other,12+,Commercial,0.23219964756875316,2017,36,0,4
4,International Market,Yoon Je-gyun,2014-12-17,Theatrical Release,Feature,KR,966,110828014630,14245998,25842519330.0,3233946,Romance,12+,Commercial,0.22700733216444366,2014,36,0,5
5,Avengers: Endgame,"Anthony Russo, Joe Russo",2019-04-24,Theatrical Release,Feature,US,2835,122182694160,13934592,33577136860.0,3597963,Action,12+,Commercial,0.2582036847580467,2019,63,0,0
6,Frozen 2,"Chris Buck, Jennifer Lee",2019-11-21,Theatrical Release,Feature,US,2648,114810421450,13747792,28824682580.0,3225974,Animation,All Ages,Commercial,0.2346539720705696,2019,63,3,2
7,Veteran,Ryu Seung-wan,2015-08-05,Theatrical Release,Feature,KR,1064,105024756250,13395400,26766369950.0,3290366,Action,15+,Commercial,0.24563402362004869,2015,36,1,0
8,Spring in Seoul,Kim Seong-su,2023-11-22,Theatrical Release,Feature,KR,2328,127926951712,13128080,29336875104.0,2956518,Romance,12+,Commercial,0.22520566602275427,2023,36,0,5
9,Thieves,Choi Dong Hoon,2012-07-25,Theatrical Release,Feature,KR,1072,93665568500,12983330,26089426500.0,3468906,Action,15+,Commercial,0.2671815320106629,2012,36,1,0
10,Gift from Room 7,This environment,2013-01-23,Theatrical Release,Feature,KR,787,91431914670,12811206,22800931670.0,3070053,Comedy,15+,Commercial,0.23963809496155164,2013,36,1,3
11,assassination,Choi Dong Hoon,2015-07-22,Theatrical Release,Feature,KR,1519,98463132781,12705700,25306651181.0,3155960,Action,15+,Commercial,0.2483893055872561,2015,36,1,0
12,Crime City 2,Lee Sangyong,2022-05-18,Theatrical Release,Feature,KR,2498,131293353478,12692959,29072759869.0,2755760,Other,15+,Commercial,0.21710934384960984,2022,36,1,4
13,Aladdin,Guy Ritchie,2019-05-23,Theatrical Release,Feature,US,1311,106983620359,12555894,30218911039.0,3377404,Other,All Ages,Commercial,0.2689895279459989,2019,63,3,4
14,"Gwanghae, the man who became king",Chu Changmin,2012-09-13,Theatrical Release,Feature,KR,810,88900208769,12319542,25192804727.0,3355700,Other,15+,Commercial,0.27238837287944634,2012,36,1,4
15,Along with the Gods: The Two Worlds,Kim Yong-hwa,2018-08-01,Theatrical Release,Feature,KR,2235,102476768809,12253247,22905551759.0,2636542,Other,12+,Commercial,0.21517088490911837,2018,36,0,4
16,Taxi driver,Jang Hoon,2017-08-02,Theatrical Release,Feature,KR,1906,95284747049,12099971,22186916199.0,2729932,Romance,15+,Commercial,0.22561475560561262,2017,36,1,5
17,Graveyard,Jang Jae-hyun,2024-02-22,Theatrical Release,Feature,KR,2355,115148478414,11913725,26979812331.0,2723228,Other,15+,Commercial,0.22857905482961877,2024,36,1,4
18,Train to Busan,Yeon Sang-ho,2016-07-20,Theatrical Release,Feature,KR,1788,93175877048,11565078,23020827248.0,2754686,Action,15+,Commercial,0.23819000615473584,2016,36,1,0
19,Crime City 4,Heo Myeong-haeng,2024-04-24,Theatrical Release,Feature,KR,2980,110038420734,11501621,22859743231.0,2314667,Action,15+,Commercial,0.2012470242238029,2024,36,1,0
20,pleader,Yang Woo-seok,2013-12-18,Theatrical Release,Feature,KR,923,82856578300,11372451,22571929000.0,2978688,Romance,15+,Commercial,0.26192137473267635,2013,36,1,5
21,Avengers: Infinity War,"Anthony Russo, Joe Russo",2018-04-25,Theatrical Release,Feature,US,2553,99919006769,11211880,28631269069.0,3008819,Action,12+,Commercial,0.2683599003913706,2018,63,0,0
22,Avatar: The Water Way,James Cameron,2022-12-14,Theatrical Release,Feature,US,2809,137647702899,10805065,35476705140.0,2623216,Action,12+,Commercial,0.24277651268178396,2022,63,0,0
23,Crime City 3,Lee Sangyong,2023-05-31,Theatrical Release,Feature,KR,2582,104687737771,10682813,22152818269.0,2215433,Other,15+,Commercial,0.20738292432901334,2023,36,1,4
24,Avengers: Age of Ultron,Joss Whedon,2015-04-23,Theatrical Release,Feature,US,1843,88582586366,10494499,25001906266.0,2823388,Action,12+,Commercial,0.26903504397875494,2015,63,0,0
25,helminth,Bong Joon-ho,2019-05-30,Theatrical Release,Feature,KR,1948,87459829095,10313086,24128560195.0,2790209,Romance,15+,Commercial,0.27055034739359296,2019,36,1,5
26,Frozen,"Chris Buck, Jennifer Lee",2014-01-16,Theatrical Release,Feature,US,1010,82461504400,10296101,25847243500.0,3003446,Animation,All Ages,Commercial,0.29170712291963724,2014,63,3,2
27,Interstellar,Christopher Nolan,2014-11-06,Theatrical Release,Feature,US,1342,82274331200,10273803,25500349600.0,3079036,Other,12+,Commercial,0.29969778474436387,2014,63,0,4
28,Bohemian Rhapsody,Bryan Singer,2018-10-31,Theatrical Release,Feature,US,936,86280975785,9948386,27849793695.0,3097336,Romance,12+,Commercial,0.31134055313093,2018,63,0,5
29,Inspector's Note,Lee Il-hyung,2016-02-03,Theatrical Release,Feature,KR,1812,77252755264,9699092,18302525664.0,2219587,Other,15+,Commercial,0.22884482382474566,2016,36,1,4
30,Exit,Lee Sang-geun,2019-07-31,Theatrical Release,Feature,KR,1660,79232212162,9426051,18533549352.0,2132869,Comedy,12+,Commercial,0.22627386590630583,2019,36,0,3
31,Physiognomy,Han Jae-rim,2013-09-11,Theatrical Release,Feature,KR,1190,66005451500,9134586,19311179000.0,2561744,Other,15+,Commercial,0.28044445582974425,2013,36,1,4
32,iron man 3,Shane Black,2013-04-25,Theatrical Release,Feature,US,1381,70806191000,9001309,21668935500.0,2595269,Action,12+,Commercial,0.28832128749274133,2013,63,0,0
33,snowpiercer,Bong Joon-ho,2013-08-01,Theatrical Release,Feature,KR,1128,64016480000,8914845,18975866000.0,2550437,Other,15+,Commercial,0.28608876542441286,2013,36,1,4
34,Inside Out 2,Kelsey Mann,2024-06-12,Theatrical Release,Feature,US,2619,84509284036,8799013,22334734771.0,2218355,Animation,All Ages,Commercial,0.25211407233970445,2024,63,3,2
35,Captain America: Civil War,"Anthony Russo, Joe Russo",2016-04-27,Theatrical Release,Feature,US,1991,72672111827,8677249,21248121149.0,2400069,Action,12+,Commercial,0.27659330739500504,2016,63,0,0
36,Suspicious Her,Hwang Dong-hyeok,2014-01-22,Theatrical Release,Feature,KR,692,62696639249,8656397,15358810049.0,2042110,Romance,15+,Commercial,0.2359076183774843,2014,36,1,5
37,Pirate: A bandit who goes to sea,Lee Seok-hoon,2014-08-06,Theatrical Release,Feature,KR,838,66240631706,8646758,14906345006.0,1868694,Other,12+,Commercial,0.21611498783705985,2014,36,0,4
39,Baekdu Mountain,"Lee Hae-jun, Kim Byeong-seo",2019-12-19,Theatrical Release,Feature,KR,1971,69825366300,8252669,15055877210.0,1724785,Other,12+,Commercial,0.20899723471279413,2019,36,0,4
40,Top Gun: Maverick,Joseph Kosinski,2022-06-22,Theatrical Release,Feature,US,1975,87855360975,8177446,25925045991.0,2309600,Action,12+,Commercial,0.2824353716307023,2022,63,0,0
41,Spider-Man: Far From Home,John Watts,2019-07-02,Theatrical Release,Feature,US,2142,69000711100,8020208,18515112400.0,2051196,Action,12+,Commercial,0.25575346674300714,2019,63,0,0
42,Cooperation,Kim Seong-hoon,2017-01-18,Theatrical Release,Feature,KR,976,63781731326,7817446,14672808676.0,1744624,Action,15+,Commercial,0.22317058538044265,2017,36,1,0
43,Transformers 3,Michael Bay,2011-06-29,Theatrical Release,Feature,US,1409,74841350500,7784807,21746223000.0,2143018,Action,12+,Commercial,0.2752820975523221,2011,63,0,0
44,Himalayas,Lee Seok-hoon,2015-12-16,Theatrical Release,Feature,KR,1009,60173583015,7759473,13920553930.0,1738016,Romance,12+,Commercial,0.22398634546444068,2015,36,0,5
45,Mission Impossible: Ghost Protocol,brad bird,2011-12-15,Theatrical Release,Feature,US,1038,57795846000,7575899,18719283500.0,2347164,Action,15+,Commercial,0.3098198642827736,2011,63,1,0
46,Spider-Man: No Way Home,John Watts,2021-12-15,Theatrical Release,Feature,US,2948,75193912210,7551990,21054819760.0,2041418,Action,12+,Commercial,0.2703152414131904,2021,63,0,0
47,Veteran 2,Ryu Seung-wan,2024-09-13,Theatrical Release,Feature,KR,2691,72474035814,7525339,14954292776.0,1489640,Action,15+,Commercial,0.1979498863772117,2024,36,1,0
48,emissary,Kim Ji-woon,2016-09-07,Theatrical Release,Feature,KR,1444,61158644831,7487545,15436298021.0,1827424,Action,15+,Commercial,0.24406183869345693,2016,36,1,0
49,"The ultimate weapon, the bow",Kim Han-min,2011-08-10,Theatrical Release,Feature,KR,615,55808856500,7466976,16139541000.0,2059847,Other,15+,Commercial,0.2758609375468731,2011,36,1,4
50,Sunny,Kang Hyung-cheol,2011-05-04,Theatrical Release,Feature,KR,472,53773170600,7328820,15401904600.0,2004824,Romance,15+,Commercial,0.27355345062370207,2011,36,1,5
51,Hansan: The Appearance of the Dragon,Kim Han-min,2022-07-27,Theatrical Release,Feature,KR,2223,73700628377,7264934,15974849913.0,1513672,Action,12+,Commercial,0.2083531660439035,2022,36,0,0
52,Spider-Man: Homecoming,John Watts,2017-07-05,Theatrical Release,Feature,US,1965,59120173820,7257973,16753103620.0,1969107,Action,12+,Commercial,0.2713026074910998,2017,63,0,0
53,Elemental,Peter Son,2023-06-14,Theatrical Release,Feature,US,1251,71129945066,7239288,19102254019.0,1883280,Animation,All Ages,Commercial,0.2601471304912859,2023,63,3,2
54,1987,Jang Jun-hwan,2017-12-27,Theatrical Release,Feature,KR,1299,58165581145,7231638,14638920495.0,1776877,Romance,15+,Commercial,0.24570878686128925,2017,36,1,5
55,Berlin,Ryu Seung-wan,2013-01-30,Theatrical Release,Feature,KR,894,52354931637,7166199,16070379637.0,2118794,Action,15+,Commercial,0.2956649682767671,2013,36,1,0
56,Master,Jo Ui-seok,2016-12-21,Theatrical Release,Feature,KR,1501,58067927865,7150541,14520299965.0,1731940,Action,15+,Commercial,0.242211043891644,2016,36,1,0
57,tunnel,Kim Seong-hoon,2016-08-10,Theatrical Release,Feature,KR,1105,57510324417,7118592,14121558017.0,1675010,Romance,12+,Commercial,0.23530074486640054,2016,36,0,5
58,Avengers,Joss Whedon,2012-04-26,Theatrical Release,Feature,US,967,59557853478,7074867,19280107897.0,2147619,Action,12+,Commercial,0.30355609511811316,2012,63,0,0
59,Insiders,Woo Min-ho,2015-11-19,Theatrical Release,Feature,KR,1075,56596582057,7071763,16340245357.0,1972885,Other,18+,Commercial,0.27898064457194055,2015,36,2,4
60,Incheon Landing Operation,Lee Jae-han,2016-07-27,Theatrical Release,Feature,KR,1049,55101410303,7049643,11459996563.0,1427944,Other,12+,Commercial,0.20255550529296307,2016,36,0,4
61,Cooperation 2: International,Lee Seok-hoon,2022-09-07,Theatrical Release,Feature,KR,2389,70884583586,6979319,15028120901.0,1444987,Action,15+,Commercial,0.20703839443361163,2022,36,1,0
62,Lucky,The other world wall,2016-10-13,Theatrical Release,Feature,KR,1158,56361435256,6965706,13812629836.0,1640015,Comedy,15+,Commercial,0.2354413177932,2016,36,1,3
63,Secretly and Greatly,Jang Cheol-su,2013-06-05,Theatrical Release,Feature,KR,1341,48663939413,6953800,12415574413.0,1691014,Action,15+,Commercial,0.2431784060513676,2013,36,1,0
64,Gokseong,Na Hong-jin,2016-05-12,Theatrical Release,Feature,KR,1485,55853108382,6878264,15445041342.0,1829923,Other,15+,Commercial,0.2660443100177603,2016,36,1,4
65,Crime City,Kang Yoon-seong,2017-10-03,Theatrical Release,Feature,KR,1315,56077813249,6851297,14046905449.0,1670254,Other,18+,Commercial,0.2437865414387962,2017,36,2,4
66,wolf boy,Jo Seong-hee,2012-10-31,Theatrical Release,Feature,KR,706,46593107500,6654837,12336313500.0,1677173,Romance,15+,Commercial,0.25202315248292334,2012,36,1,5
67,Battleship Island,Ryu Seung-wan,2017-07-26,Theatrical Release,Feature,KR,2027,50510565168,6592151,11091878868.0,1398649,Action,15+,Commercial,0.21216883533159359,2017,36,1,0
68,Mission Impossible: Fallout,Christopher McQuarrie,2018-07-25,Theatrical Release,Feature,US,1957,55888375112,6584915,14891043562.0,1686255,Action,15+,Commercial,0.2560784763356854,2018,63,1,0
69,The Dark Knight Rises,Christopher Nolan,2012-07-19,Theatrical Release,Feature,US,1210,47644838000,6396528,16258149500.0,2057529,Action,15+,Commercial,0.3216634086491922,2012,63,1,0
