rank,title,director,release_date,movie_type,format_type,nation,screens_total,sales_total_krw,audience_total,sales_seoul_krw,audience_seoul,genre,rating,film_class
1,Myeongryang,Kim Han-min,2014-07-30,Theatrical Release,Feature,KR,1587,135748398910,17613682,33121225810,4163666,Historical,15+,Commercial
2,Extreme Job,Lee Byung-hun,2019-01-23,Theatrical Release,Feature,KR,1978,139647979516,16264944,31858660536,3638287,Comedy,15+,Commercial
3,Along with the Gods: The Two Worlds,Kim Yong-hwa,2017-12-20,Theatrical Release,Feature,KR,1912,115698654137,14410754,27530825087,3346172,Fantasy,12+,Commercial
4,International Market,Yoon Je-gyun,2014-12-17,Theatrical Release,Feature,KR,966,110828014630,14245998,25842519330,3233946,Drama,12+,Commercial
5,Avengers: Endgame,"Anthony Russo, Joe Russo",2019-04-24,Theatrical Release,Feature,US,2835,122182694160,13934592,33577136860,3597963,Action,12+,Commercial
6,Frozen 2,"Chris Buck, Jennifer Lee",2019-11-21,Theatrical Release,Feature,US,2648,114810421450,13747792,28824682580,3225974,Animation,All Ages,Commercial
7,Veteran,Ryu Seung-wan,2015-08-05,Theatrical Release,Feature,KR,1064,105024756250,13395400,26766369950,3290366,Action,15+,Commercial
8,Spring in Seoul,Kim Seong-su,2023-11-22,Theatrical Release,Feature,KR,2328,127926951712,13128080,29336875104,2956518,Drama,12+,Commercial
9,Thieves,Choi Dong Hoon,2012-07-25,Theatrical Release,Feature,KR,1072,93665568500,12983330,26089426500,3468906,Action,15+,Commercial
10,Gift from Room 7,This environment,2013-01-23,Theatrical Release,Feature,KR,787,91431914670,12811206,22800931670,3070053,Comedy,15+,Commercial
11,assassination,Choi Dong Hoon,2015-07-22,Theatrical Release,Feature,KR,1519,98463132781,12705700,25306651181,3155960,Action,15+,Commercial
12,Crime City 2,Lee Sangyong,2022-05-18,Theatrical Release,Feature,KR,2498,131293353478,12692959,29072759869,2755760,Crime,15+,Commercial
13,Aladdin,Guy Ritchie,2019-05-23,Theatrical Release,Feature,US,1311,106983620359,12555894,30218911039,3377404,Adventure,All Ages,Commercial
14,"Gwanghae, the man who became king",Chu Changmin,2012-09-13,Theatrical Release,Feature,KR,810,88900208769,12319542,25192804727,3355700,Historical,15+,Commercial
15,Along with the Gods: The Two Worlds,Kim Yong-hwa,2018-08-01,Theatrical Release,Feature,KR,2235,102476768809,12253247,22905551759,2636542,Fantasy,12+,Commercial
16,Taxi driver,Jang Hoon,2017-08-02,Theatrical Release,Feature,KR,1906,95284747049,12099971,22186916199,2729932,Drama,15+,Commercial
17,Graveyard,Jang Jae-hyun,2024-02-22,Theatrical Release,Feature,KR,2355,115148478414,11913725,26979812331,2723228,Mystery,15+,Commercial
18,Train to Busan,Yeon Sang-ho,2016-07-20,Theatrical Release,Feature,KR,1788,93175877048,11565078,23020827248,2754686,Action,15+,Commercial
19,Crime City 4,Heo Myeong-haeng,2024-04-24,Theatrical Release,Feature,KR,2980,110038420734,11501621,22859743231,2314667,Action,15+,Commercial
20,pleader,Yang Woo-seok,2013-12-18,Theatrical Release,Feature,KR,923,82856578300,11372451,22571929000,2978688,Drama,15+,Commercial
21,Avengers: Infinity War,"Anthony Russo, Joe Russo",2018-04-25,Theatrical Release,Feature,US,2553,99919006769,11211880,28631269069,3008819,Action,12+,Commercial
22,Avatar: The Water Way,James Cameron,2022-12-14,Theatrical Release,Feature,US,2809,137647702899,10805065,35476705140,2623216,Action,12+,Commercial
